# este archivo son los resultado de los trials del modelo B de optuna 

number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_scale_pos_weight,params_subsample,state
126,0.5512602496389926,2026-07-23 20:39:17.843956,2026-07-23 20:39:18.920442,0 days 00:00:01.076486,0.8725006368036244,0.02485263424957634,6,133,3.17324534599503,0.6085851541714183,COMPLETE
127,0.547918735134008,2026-07-23 20:39:18.921468,2026-07-23 20:39:19.926676,0 days 00:00:01.005208,0.8114682572306144,0.020338357271636447,5,234,3.0588216988240875,0.6722797823191977,COMPLETE
128,0.5530576624786173,2026-07-23 20:39:19.927667,2026-07-23 20:39:21.585522,0 days 00:00:01.657855,0.8197246869037741,0.015129052607496966,7,265,3.434214048072236,0.6950471618321009,COMPLETE
129,0.5456324620096252,2026-07-23 20:39:21.586417,2026-07-23 20:39:23.053607,0 days 00:00:01.467190,0.7982837931816663,0.013590089088322729,6,195,4.087706216544521,0.8441242294294167,COMPLETE
130,0.5520899122701155,2026-07-23 20:39:23.054357,2026-07-23 20:39:24.200761,0 days 00:00:01.146404,0.8435715060469803,0.029495042494796425,6,214,3.3383800858687036,0.7105464478030894,COMPLETE
131,0.5517762790954198,2026-07-23 20:39:24.201463,2026-07-23 20:39:25.594340,0 days 00:00:01.392877,0.8343676981015052,0.015396240023504388,7,262,3.4426453885625965,0.6978628826454967,COMPLETE
132,0.5542312440004821,2026-07-23 20:39:25.595432,2026-07-23 20:39:27.182036,0 days 00:00:01.586604,0.7820651445583541,0.017061454593251233,7,253,3.242671061793508,0.6429018580068485,COMPLETE
133,0.5540394249994821,2026-07-23 20:39:27.182853,2026-07-23 20:39:28.720156,0 days 00:00:01.537303,0.790178677443589,0.016341281570975332,7,246,3.2426035828802235,0.6387122746923413,COMPLETE
134,0.5506570879632536,2026-07-23 20:39:28.720874,2026-07-23 20:39:30.041673,0 days 00:00:01.320799,0.7860412878210283,0.017652201040608433,7,245,3.160808314898189,0.6313344479975909,COMPLETE
135,0.5552086385249454,2026-07-23 20:39:30.042481,2026-07-23 20:39:31.569929,0 days 00:00:01.527448,0.8102863339904179,0.016688817634015748,7,281,3.11971285382666,0.6415273982682645,COMPLETE
136,0.5546822657444316,2026-07-23 20:39:31.570703,2026-07-23 20:39:33.866438,0 days 00:00:02.295735,0.7731092895032934,0.013752447753375382,8,280,3.304287555779937,0.6417118098914566,COMPLETE
137,0.5536080071857371,2026-07-23 20:39:33.867382,2026-07-23 20:39:35.974134,0 days 00:00:02.106752,0.7711527423358687,0.014275956205122856,8,276,3.3324948096250955,0.6423041329203185,COMPLETE
138,0.5542188008391241,2026-07-23 20:39:35.974992,2026-07-23 20:39:38.112853,0 days 00:00:02.137861,0.7800367503734592,0.01653788102629348,8,278,3.621347089783378,0.6407803592136881,COMPLETE
139,0.5524081030265138,2026-07-23 20:39:38.114231,2026-07-23 20:39:40.262210,0 days 00:00:02.147979,0.7762096479714661,0.01639829260257818,8,282,3.340659633586387,0.625179411372302,COMPLETE
140,0.5540162980140065,2026-07-23 20:39:40.263132,2026-07-23 20:39:42.498361,0 days 00:00:02.235229,0.7908280818923804,0.0139961266873309,8,299,3.284278424176461,0.6372889025981571,COMPLETE
141,0.5528971904513799,2026-07-23 20:39:42.499272,2026-07-23 20:39:44.487817,0 days 00:00:01.988545,0.7795841817102763,0.014260280144213211,8,303,3.493086175475384,0.6424336540583002,COMPLETE
142,0.5461985538682335,2026-07-23 20:39:44.488690,2026-07-23 20:39:46.491152,0 days 00:00:02.002462,0.7918676235507949,0.011779476756350585,8,327,3.3000047368231002,0.606811019659883,COMPLETE
143,0.5431378898109801,2026-07-23 20:39:46.491951,2026-07-23 20:39:49.105699,0 days 00:00:02.613748,0.8037496309099924,0.013006522217489906,9,275,3.2085709875200426,0.6395625537001035,COMPLETE
