# comentario unicamente para diferenciar los archivos: trials B de optuna

number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_scale_pos_weight,params_subsample,state
417,0.5412475480795126,2026-07-24 16:56:44.816032,2026-07-24 16:56:46.370277,0 days 00:00:01.554245,0.8222065905617028,0.01790421952841735,7,241,3.089081239083165,0.6309120735126027,COMPLETE
418,0.5520746111926385,2026-07-24 16:56:46.371202,2026-07-24 16:56:48.285769,0 days 00:00:01.914567,0.8078056613486052,0.014446549021935252,7,219,3.3057022327115595,0.6537652872355983,COMPLETE
419,0.5539422533394228,2026-07-24 16:56:48.286563,2026-07-24 16:56:50.066091,0 days 00:00:01.779528,0.8133525173431078,0.01557877970096156,7,185,3.1998515495326583,0.643284924086864,COMPLETE
420,0.55405712640652,2026-07-24 16:56:50.066966,2026-07-24 16:56:52.016099,0 days 00:00:01.949133,0.8033273138841228,0.016702031278821253,7,229,3.3967070248737854,0.6499748411294388,COMPLETE
421,0.5522888265977474,2026-07-24 16:56:52.017090,2026-07-24 16:56:54.152362,0 days 00:00:02.135272,0.822326353511044,0.018617094664306954,7,200,3.265373132837815,0.6191945135606796,COMPLETE
422,0.5540674255266455,2026-07-24 16:56:54.153923,2026-07-24 16:56:56.084071,0 days 00:00:01.930148,0.8078529363929219,0.017215126246456592,7,212,3.1480421521989213,0.6361199820023113,COMPLETE
423,0.5486195007754602,2026-07-24 16:56:56.084899,2026-07-24 16:56:57.394995,0 days 00:00:01.310096,0.816854570011183,0.016142433020049293,7,257,3.47536400220675,0.9135600478049101,COMPLETE
424,0.5535703821380867,2026-07-24 16:56:57.395775,2026-07-24 16:56:59.050538,0 days 00:00:01.654763,0.8393580579967918,0.017701202740454624,7,540,3.0602987992749093,0.6763768766558464,COMPLETE
425,0.49785431232574445,2026-07-24 16:56:59.051366,2026-07-24 16:57:00.959946,0 days 00:00:01.908580,0.8052572517422782,0.015287133833634624,7,245,2.43712212627402,0.6615412226927316,COMPLETE
426,0.41654233959067993,2026-07-24 16:57:00.960901,2026-07-24 16:57:02.218450,0 days 00:00:01.257549,0.8290697192012944,0.01970428604051766,7,229,2.1946255331011626,0.6095013379576121,COMPLETE
427,0.5542338608882759,2026-07-24 16:57:02.219199,2026-07-24 16:57:03.871377,0 days 00:00:01.652178,0.7982241413772967,0.014066938174960604,7,164,3.3328846094402316,0.6468243788959525,COMPLETE
428,0.549706216967807,2026-07-24 16:57:03.872263,2026-07-24 16:57:06.532868,0 days 00:00:02.660605,0.752262480641924,0.01689822181302033,9,264,3.2228949270004397,0.6394705148070615,COMPLETE
429,0.5503804348539495,2026-07-24 16:57:06.533730,2026-07-24 16:57:07.804465,0 days 00:00:01.270735,0.8137327518016297,0.012773148655151272,4,236,3.168596361134726,0.6557005143229628,COMPLETE
430,0.5518740837089181,2026-07-24 16:57:07.805332,2026-07-24 16:57:09.438487,0 days 00:00:01.633155,0.8017494541477805,0.02088039096558864,7,222,3.2534870253377832,0.6291138773657796,COMPLETE
431,0.5482837712033247,2026-07-24 16:57:09.439896,2026-07-24 16:57:11.356447,0 days 00:00:01.916551,0.8241100303491701,0.01850062830679504,7,276,2.935767666506885,0.6647435220740008,COMPLETE
432,0.5527514478479344,2026-07-24 16:57:11.357158,2026-07-24 16:57:13.155148,0 days 00:00:01.797990,0.7916692152400917,0.016026158602355057,7,246,3.1033919512351047,0.6454280109817736,COMPLETE
433,0.5538012048042025,2026-07-24 16:57:13.155930,2026-07-24 16:57:15.044169,0 days 00:00:01.888239,0.8122462340465875,0.014843415941919734,7,210,3.3511021103778678,0.6541058149243102,COMPLETE
434,0.5544982259080911,2026-07-24 16:57:15.045279,2026-07-24 16:57:16.996188,0 days 00:00:01.950909,0.8042919692545919,0.0174727868612803,7,235,3.1961320150461185,0.6361703585590972,COMPLETE
435,0.5467148598907898,2026-07-24 16:57:16.996973,2026-07-24 16:57:18.778732,0 days 00:00:01.781759,0.8085677002705964,0.0179345649752216,7,254,2.9878960758498225,0.6232715226305046,COMPLETE
436,0.5537251391874632,2026-07-24 16:57:18.779668,2026-07-24 16:57:20.420253,0 days 00:00:01.640585,0.8175182696363179,0.018600466510405,7,235,3.176656532675185,0.6332238188053394,COMPLETE
437,0.5516665354297469,2026-07-24 16:57:20.421200,2026-07-24 16:57:22.205634,0 days 00:00:01.784434,0.8020946982075151,0.016519339057155184,7,269,3.097733134663515,0.6395270363479217,COMPLETE
438,0.5531307043229364,2026-07-24 16:57:22.206506,2026-07-24 16:57:24.262939,0 days 00:00:02.056433,0.807472336377193,0.017409908572071434,7,221,3.1999673215074,0.6721823132106498,COMPLETE
439,0.5468461906411254,2026-07-24 16:57:24.263785,2026-07-24 16:57:26.000660,0 days 00:00:01.736875,0.8209477552734655,0.019658373321204507,7,247,3.033869066527004,0.630081851450494,COMPLETE
440,0.5437086135451158,2026-07-24 16:57:26.001993,2026-07-24 16:57:27.688878,0 days 00:00:01.686885,0.7951452653039753,0.015557672980672775,7,198,3.136917805320486,0.6502634611055944,COMPLETE
441,0.5546658657240592,2026-07-24 16:57:27.691359,2026-07-24 16:57:29.764669,0 days 00:00:02.073310,0.8134925658568608,0.016512692006973136,7,230,3.2307194677670257,0.6599749965708556,COMPLETE
